experiment,population,relevant,retrieved,positives,precision,recall,fmeasure,accuracy,error
heat-gutenberg-00003-gs,1000,500,0,0,0.0,0.0,NaN,0.5,0.5
heat-gutenberg-00003-gs,1000,500,0,0,0.0,0.0,NaN,0.5,0.5
heat-gutenberg2-00003-20-gs,1000,500,831,462,0.555956678700361,0.924,0.6942148760330579,0.593,0.40700000000000003
heat-gutenberg2-00003-20-gs,1000,500,831,462,0.555956678700361,0.924,0.6942148760330579,0.593,0.40700000000000003
heat-gutenberg2-00004-20-gs,1000,500,621,416,0.6698872785829307,0.832,0.7421944692239071,0.711,0.28900000000000003
heat-gutenberg2-00004-20-gs,1000,500,621,416,0.6698872785829307,0.832,0.7421944692239071,0.711,0.28900000000000003
heat-gutenberg2-00005-20-gs,1000,500,487,371,0.7618069815195072,0.742,0.7517730496453902,0.755,0.245
heat-gutenberg2-00005-20-gs,1000,500,487,371,0.7618069815195072,0.742,0.7517730496453902,0.755,0.245
heat-gutenberg2-00007-20-gs,1000,500,328,270,0.823170731707317,0.54,0.6521739130434783,0.712,0.28800000000000003
heat-gutenberg2-00007-20-gs,1000,500,328,270,0.823170731707317,0.54,0.6521739130434783,0.712,0.28800000000000003
heat-gutenberg2-0001-20-gs,1000,500,150,123,0.82,0.246,0.37846153846153846,0.596,0.404
heat-gutenberg2-0001-20-gs,1000,500,150,123,0.82,0.246,0.37846153846153846,0.596,0.404
rf--le-neg--all-gs,1000,500,8,8,1.0,0.016,0.031496062992125984,0.508,0.492
rf--le-neg--all-gs,1000,500,8,8,1.0,0.016,0.031496062992125984,0.508,0.492
rf--le-neg--eall-gs,1000,500,0,0,0.0,0.0,NaN,0.5,0.5
rf--le-neg--eall-gs,1000,500,0,0,0.0,0.0,NaN,0.5,0.5
rf--le-neg--gut10k-gs,1000,500,74,73,0.9864864864864865,0.146,0.2543554006968641,0.572,0.42800000000000005
rf--le-neg--gut10k-gs,1000,500,74,73,0.9864864864864865,0.146,0.2543554006968641,0.572,0.42800000000000005
rf--le-neg--gut5k-gs,1000,500,123,119,0.967479674796748,0.238,0.38202247191011235,0.615,0.385
rf--le-neg--gut5k-gs,1000,500,123,119,0.967479674796748,0.238,0.38202247191011235,0.615,0.385
rf--le-neg--le10k-gs,1000,500,86,84,0.9767441860465116,0.168,0.2866894197952219,0.582,0.41800000000000004
rf--le-neg--le10k-gs,1000,500,86,84,0.9767441860465116,0.168,0.2866894197952219,0.582,0.41800000000000004
rf--le-neg--le1k-gs,1000,500,202,189,0.9356435643564357,0.378,0.5384615384615385,0.676,0.32399999999999995
rf--le-neg--le1k-gs,1000,500,202,189,0.9356435643564357,0.378,0.5384615384615385,0.676,0.32399999999999995
rf--le-neg--le5k-gs,1000,500,109,105,0.963302752293578,0.21,0.3448275862068966,0.601,0.399
rf--le-neg--le5k-gs,1000,500,109,105,0.963302752293578,0.21,0.3448275862068966,0.601,0.399
rf--le-neg--tall-gs,1000,500,25,24,0.96,0.048,0.09142857142857141,0.523,0.477
rf--le-neg--tall-gs,1000,500,25,24,0.96,0.048,0.09142857142857141,0.523,0.477
rf--le-red--le-gs,1000,500,1000,500,0.5,1.0,0.6666666666666666,0.5,0.5
rf--le-red--le-gs,1000,500,1000,500,0.5,1.0,0.6666666666666666,0.5,0.5
rf--le-reu--all-gs,1000,500,969,482,0.49742002063983487,0.964,0.6562287270251872,0.495,0.505
rf--le-reu--all-gs,1000,500,969,482,0.49742002063983487,0.964,0.6562287270251872,0.495,0.505
rf--le-reu--le-gs,1000,500,977,497,0.5087001023541453,0.994,0.6729857819905213,0.517,0.483
rf--le-reu--le-gs,1000,500,977,497,0.5087001023541453,0.994,0.6729857819905213,0.517,0.483
rf--le-reu-red--le-gs,1000,500,977,499,0.510747185261003,0.998,0.6756939742721733,0.521,0.479
rf--le-reu-red--le-gs,1000,500,977,499,0.510747185261003,0.998,0.6756939742721733,0.521,0.479
rf--le-reu-red--le10k-gs,1000,500,946,498,0.5264270613107822,0.996,0.6887966804979253,0.55,0.44999999999999996
rf--le-reu-red--le10k-gs,1000,500,946,498,0.5264270613107822,0.996,0.6887966804979253,0.55,0.44999999999999996
