play[V],3149,5362
hear[V],2620,3598
music[N],2541,3650
time[N],2019,2644
first[J],2017,2738
come[V],1867,2389
sing[V],1783,2725
make[V],1759,2157
great[J],1727,2219
concert[N],1705,2467
give[V],1647,2038
take[V],1403,1716
performance[N],1353,1703
good[J],1323,1652
well[R],1305,1591
know[V],1178,1489
never[R],1142,1388
year[N],1129,1372
last[J],1068,1248
think[V],1053,1271
part[N],1038,1340
song[N],1005,1429
/span[J],995,1284
evening[N],975,1100
work[N],969,1284
listen[V],959,1106
many[J],956,1136
little[J],952,1134
night[N],946,1163
voice[N],939,1231
also[R],934,1077
just[R],882,1064
singing[N],868,1056
seem[V],843,1029
much[J],832,935
ever[R],826,944
orchestra[N],818,1118
find[V],804,907
piano[N],766,1026
musical[J],764,893
piece[N],757,959
even[R],755,856
audience[N],750,976
perform[V],744,845
thing[N],734,858
people[N],731,905
opera[N],719,1083
band[N],717,1136
always[R],712,826
rsquo[N],709,1736
singer[N],704,869
quite[R],694,798
call[V],692,779
write[V],685,842
begin[V],681,824
still[R],673,753
effect[N],672,1107
place[N],656,751
remember[V],646,721
conduct[V],642,783
style[N],636,711
tell[V],628,739
much[R],621,672
London[N],599,714
house[N],597,687
feel[V],596,730
morning[N],582,649
beautiful[J],568,629
instrument[N],563,716
fine[J],561,631
whole[J],561,639
musician[N],557,658
composer[N],556,666
bring[V],553,613
leave[V],553,604
young[J],553,625
friend[N],544,639
full[J],536,594
word[N],534,632
best[J],533,575
number[N],533,1656
follow[V],532,596
name[N],524,34405
Hall[N],520,609
look[V],517,581
note[N],507,615
back[R],498,558
hand[N],495,573
really[R],488,536
stage[N],483,604
become[V],481,522
playing[N],481,556
rehearsal[N],478,599
sound[N],476,573
rather[R],472,531
/span[N],467,1986
room[N],466,561
long[J],465,500
second[J],460,547
almost[R],458,500
Beethoven[N],456,604
something[N],448,513
stand[V],445,505
course[N],444,479
life[N],441,482
attend[V],437,468
nothing[N],437,479
meet[V],435,461
player[N],435,561
want[V],433,504
true[J],433,58333
like[V],433,502
occasion[N],429,476
together[R],423,461
violin[N],421,519
often[R],421,469
hall[N],418,486
next[J],416,448
organ[N],413,622
however[R],413,457
hour[N],412,459
appear[V],410,455
wonderful[J],410,438
ldquo[N],397,988
home[N],397,441
dinner[N],397,445
excellent[J],394,419
chorus[N],393,500
several[J],391,421
away[R],386,420
later[R],381,410
conductor[N],380,469
rdquo[N],380,868
accompany[V],378,403
work[V],377,434
produce[V],376,415
tune[N],372,487
present[J],370,403
line[N],368,390
Symphony[N],368,416
tone[N],364,416
church[N],363,495
keep[V],362,396
Festival[N],359,477
movement[N],358,458
composition[N],358,409
turn[V],357,394
receive[V],356,377
artist[N],355,414
<NUMBER>[N],352,612
moment[N],346,388
week[N],343,382
Concerto[N],341,406
pleasure[N],340,367
first[R],340,354
lady[N],338,398
form[N],335,521
compose[V],333,364
kind[N],333,369
start[V],332,387
light[J],327,3333
indeed[R],326,356
solo[N],324,389
speak[V],322,356
perhaps[R],319,345
forget[V],318,333
better[J],317,343
high[J],317,348
large[J],317,347
sound[V],317,368
power[N],316,359
memory[N],316,347
different[J],315,358
choir[N],315,469
afternoon[N],315,334
small[J],314,337
programme[N],314,366
show[V],312,336
enjoy[V],311,330
concerto[N],311,377
soon[R],310,344
child[N],309,395
subject[N],305,313
body[N],303,1571
anything[N],302,315
intense[J],297,537
service[N],297,401
especially[R],297,319
hold[V],296,319
woman[N],295,343
fact[N],290,306
long[R],289,306
success[N],289,320
world[N],289,317
love[V],288,320
letter[N],288,309
