le,sources,excerpt,agent,place
http://data.open.ac.uk/led/lexp/1448393552252,https://archive.org/details/musicallettersf00unkngoog,"<p>On Friday evening last, we attended the regular service at the Jewish synagogue. There was a congregation of perhaps three hundred men occupying the lower part of the house, and a few scattering women were seen in the gallery. The men all sit or stand with heads covered; and although four of us Americans took off our hats when we entered, we were told to put them on again, and obeyed orders. There was very little appearance of reverence or solemnity; indeed, none that could be observed. The appearance of the assembly was somewhat like that of a New England town meeting, after having been called to order by the chairman. There was a choir of about twelve or fourteen boys, with men for tenor and bass, and the harmony parts were sung. All the service was chanted, in a responsive manner, by priest or priests, choir and people, with the exception of two airs and melodies, which were sung by the choir. These were both modern, and even the chants did not seem to come from David or Solomon, but were more like the common chant, somewhat modified by a kind of recitative or declamatory manner of utterance. On the whole, the Jewish service here was not one of much interest, considered either religiously or musically.</p>",,
http://data.open.ac.uk/led/lexp/1444928659874,https://archive.org/stream/autobiographycor01delauoft,"<p>On Saturday morning Lady Louisa and I took a walk before the rain came, which was at noon, and we could not stir out in the evening, so we had recourse to music. Lady Louisa and I played thorough bass, and we had two violins and a tenor.</p>",,http://dbpedia.org/resource/Warwick
http://data.open.ac.uk/led/lexp/1439032598718,https://archive.org/stream/thirtyyearsofmus00kleiuoft,"<p style=""text-align: justify;"">[In 1877] later Richard Wagner came to London to take part in the series of Wagner Festival Concerts at the Royal Albert Hall, which had been arranged with a view to paying off the debt on the new theatre at Bayreuth...To make matters clear, I must premise that the adversaries and supporters of Wagnerian art in London were then ranged in three distinct camps. There were (1) those who refused to accept his music under any conditions; (2) those who would accept all he had written down to ""Tannh&auml;user"" and ""Lohengrin""; and (3) those who worshiped both at the temple and from afar, accepting and rejoicing in everything. The first of these sections was gradually dying out, or was being absorbed by the second, as the beauty of the operas heard in London within the previous two years slowly but surely forced its way into the heart and understanding of the people...The final rehearsal for the opening concert of the festival took place at the Albert Hall on May 5. Wagner had himself chosen the programmes. He was to conduct each first part, consisting of selections from all his operas, from ""Rienzi"" to ""Tristan""; while Hans Richter, who now made his first appearance in England, was to direct the excerpts from ""Der Eing des Nibelungen"" that formed each second part. Most of the preliminary work had been done under Mr. Dannreuther, in whom Wagner reposed great confidence. All that remained was to give the finishing touches and for the composer-conductor to accustom himself to the vast auditorium and the huge crescent-shaped phalanx of orchestral players spread before him. From the outset, as it seemed to me, he failed to place himself en rapport with either. The abnormal conditions appeared completely to upset him. In a word, he succumbed there and then to a severe attack of Albert Hall stage fright, an illness familiar to nearly every artist on stepping for the first time upon the platform of that gigantic amphitheatre. However, after a glance of astonishment round the empty hall, and a few whispered words to Wilhelmj, and yet a few more to Hans Richter (who was posted beside the conductor's desk), the great man raised his baton and gave the signal for the start. The inaugural piece was the ""Kaisermarsch,"" and it was well chosen for the purpose. Its pompous and sonorous strains, proceeding with stately rhythmical movement throughout, were perfectly calculated to show off the imposing volume of the big orchestra in such a building as that. It gave no trouble, and the effect was superb. But, unluckily, instead of imbuing Wagner with a little confidence, this preludial essay left him more palpably nervous than before. The second piece on the list was the overture to the ""Fliegende Hollander."" Here, I confess, I looked for something exceptional. I had always understood that Wagner was a fine conductor, at least of works with which he was in true sympathy, and I expected his reading of the ""Dutchman"" overture to be in the nature of a revelation. Imagine, then, my disappointment and sorrow when it resulted in a complete breakdown! Twice nay, thrice did he make a fresh start, while Mr. Dannreuther and Mr. Deichmann (the faithful leader of the second violins) took it by turns to translate his complaints and instructions to the orchestra. But it was of no avail. He utterly failed either to indicate or to obtain what he wanted, and at last, in sheer despair, he threw down his stick and requested Richter to do the work for him. Well do I remember the sharp round of applause with which the band greeted the Viennese conductor as he mounted the rostrum. It was thoughtless unkind, if you will; for it must have smote with unpleasant sound upon the ears of the sensitive composer. But the overture went without a hitch. It was played as I had never heard it played before. After this Wagner decided that he would con- duct only one or two pieces at each concert, leaving all the rest to Richter. But would the public be satisfied? They were paying to see Wagner as well as to hear his music. The matter was discussed, and it was suggested, as a compromise, that when he was not conducting he should sit upon the platform in an armchair facing the audience. This course was actually adopted. At each of the six concerts comprising the festival scheme, after he had conducted the opening piece and acknowledged a magnificent reception, he sat down in his armchair and gazed at the assemblage before him with a sphinx-like expression of countenance that I shall never forget.</p>",,http://dbpedia.org/resource/Royal_Albert_Hall
http://data.open.ac.uk/led/lexp/1436262032838,https://archive.org/details/memoriesofmusici00ganzuoft,"<p>The concert on June 12th was noteworthy for the first appearance of Herbert Sims Reeves, son of the famous tenor. When he came on the platform there was such a storm of applause, lasting for at least five minutes, that it quite unnerved him. However, he pulled himself together and sang his first song, which was the recitative ""Nel fragor della festa,"" and the aria ""Alma soave,"" from Donizetti's <em>Maria di Rohan</em>. He sang it extremely well, and was several times recalled, but one could see he was very nervous at the ordeal. His second song was Schubert's ""Ave Maria,"" and his third ""Refrain thy Voice from Weeping,"" from Sullivan's Light of the World, which the composer kindly conducted to give eclat to young Reeves's singing. Herbert Reeves is the image of his father, though somewhat smaller, being short and slender. He had a small tenor voice, but sang with great taste, and, having been well taught in Italy, pronounced his words clearly and well.</p>",,http://dbpedia.org/resource/St_James's_Hall
http://data.open.ac.uk/led/lexp/1444424772006,https://archive.org/stream/autobiographyimg01dela,"<p>Your last letter to Penny gave us great joy, from the good account it brought of your being so well, which I hope will continue and increase by the sweet air of the Cotswold, when we shall have the happiness of meeting you there, which Penny and I extremely long for, notwithstanding the allurements of the operas, ridottos, etc. Music is certainly a pleasure that may be reckoned intellectual, and we shall never again have it in the perfection it is this year, because Mr. Handel will not compose any more! Oratorios begin next week, to my great joy, for they are the highest entertainment to me.</p>",http://dbpedia.org/resource/Mary_Delany,http://dbpedia.org/resource/London
http://data.open.ac.uk/led/lexp/1437411366462,https://archive.org/stream/reminiscencesofm02kellrich,"<pre>On our last night in Limerick, just in the middle of a most impressive and <br />beautiful duet, which Catalani and I were singing in ""Didone,"" and at a moment <br />when the whole house was wrapt in attention, a man vociferated from the gallery, <br />""Mr. Kelly, will you be good enough to favour us with <em>O thou wert born to please </em><br /><em>me?</em>"" This unexpected request produced a loud laugh from the audience. Catalani 
asked me what the meaning of it was ; I answered, that it was nothing but a <br />peculiar manner of applauding. My gallery friend, I suppose, recollected poor <br />Mrs. Crouch and myself, singing ""<em>Oh; thou wert born to please me</em>,"" at the same <br />theatre many years previous, and wished to hear it again. </pre>",,http://dbpedia.org/resource/Limerick
http://data.open.ac.uk/led/lexp/1426861072576,https://archive.org/stream/recentmusicmusic00mosc,"<p>Going out for a morning walk on the 30th, whom should I meet but my friend Spohr - a good omen! Our joy on meeting was mutual, we were a long time together, and sauntered on the Boulevard des Italiens. Later in the day I accompanied him to the Palais Royal, and in the evening we heard 'Don Juan' at the Italian Opera, given, to my surprise, in its integrity; Fodor was a charming Zerlina, and all the others good.</p>",,http://dbpedia.org/resource/Paris
http://data.open.ac.uk/led/lexp/1435357682797,https://archive.org/stream/reminiscencesofm02kellrich,"<p>This season, the Abb&eacute; Casti's "" Grotta di Trofonio"" was translated, or rather adapted for the English stage, under the title of ""The Cave of Trophonius,"" by Prince Hoare, and liberally given by the author to Mrs. Crouch for her benefit. Storace furnished the music, chiefly selected from the original composer, Salieri ; but, though skilfully dramatized, and the whole strength of the Drury operatic company in it, it did not meet with the reception which I think it deserved.</p>",,http://dbpedia.org/resource/Drury_Lane
http://data.open.ac.uk/led/lexp/1428145340599,https://archive.org/stream/reminiscencesofm01kellrich|https://archive.org/stream/reminiscencesofm01kellrich/reminiscencesofm01kellrich_djvu.txt,"<p>Ever warm and active, my dear Stephen introduced me the next day to the British Consul, and the Messrs. Darby, eminent mercantile men, residing -at Leghorn, brothers of Mrs. Robinson, the beautiful Perdita ; and two Scotch families, the Grants and Frazers, patronized me, and I had a crowded concert room, the nett produce, eighty zecchinos ; and above all, to me, my singing was very much approved.</p>",,http://dbpedia.org/resource/Pisa
http://data.open.ac.uk/led/lexp/1447579872437,https://archive.org/details/diaryofwilliampl01jaco,"<p>After a week or two of hard work our anniversary, the 25th, was celebrated. The part that we could control was about all I could ask. The boys spoke well. The singing was excellent. The attendance was 12 to 1500. The weather was very cool. The behavior was very noisy and as usual few could hear. I fear I will have to give up these anniversaries. They have succeeded too successfully.</p>",,"http://dbpedia.org/resource/Clinton,_South_Carolina"
