experiment,population,relevant,retrieved,positives,precision,recall,fmeasure,accuracy,error
sentimus-1-gs,1000,500,487,338,0.6940451745379876,0.676,0.6849037487335359,0.689,0.31100000000000005
heat-gutenberg2-000112-gs,1000,500,657,474,0.7214611872146118,0.948,0.8193604148660328,0.791,0.20899999999999996
heat-music-1-gs,1000,500,559,457,0.817531305903399,0.914,0.8630783758262512,0.855,0.14500000000000002
heat-music-1-filtered-gs,1000,500,482,424,0.8796680497925311,0.848,0.8635437881873728,0.866,0.134
heat-music-2-gs,1000,500,512,444,0.8671875,0.888,0.8774703557312253,0.876,0.124
heat-music-2-filtered-gs,1000,500,454,405,0.8920704845814978,0.81,0.8490566037735849,0.856,0.14400000000000002
entity-music-gs,1000,500,808,462,0.5717821782178217,0.924,0.7064220183486238,0.616,0.384
heat-entity-music-gs,1000,500,609,472,0.7750410509031199,0.944,0.8512173128944995,0.835,0.16500000000000004
heat5k-entity-music-gs,1000,500,560,464,0.8285714285714286,0.928,0.8754716981132076,0.868,0.132
heat-entity-music-filtered-gs,1000,500,551,460,0.8348457350272233,0.92,0.8753568030447193,0.869,0.131
heat5k-entity-music-filtered-gs,1000,500,517,448,0.8665377176015474,0.896,0.8810226155358899,0.879,0.121
