experiment,population,relevant,retrieved,positives,precision,recall,fmeasure,accuracy,error
led-components-1t-all-gs,1000,500,389,328,0.8431876606683805,0.656,0.7379077615298087,0.767,0.23299999999999998
led-components-1t-min3-gs,1000,500,850,474,0.5576470588235294,0.948,0.7022222222222222,0.598,0.402
led-components-1t-min4-gs,1000,500,635,442,0.6960629921259842,0.884,0.7788546255506608,0.749,0.251
led-components-1a-all-gs,1000,500,57,55,0.9649122807017544,0.11,0.19748653500897664,0.553,0.44699999999999995
led-components-1a-min3-gs,1000,500,387,320,0.8268733850129198,0.64,0.7215332581736189,0.753,0.247
led-components-1a-min4-gs,1000,500,196,188,0.9591836734693877,0.376,0.5402298850574713,0.68,0.31999999999999995
rf--le-reu-red--le10k-gs,1000,500,946,498,0.5264270613107822,0.996,0.6887966804979253,0.55,0.44999999999999996
rf--le-neg--le1k-gs,1000,500,202,189,0.9356435643564357,0.378,0.5384615384615385,0.676,0.32399999999999995
rf--le-neg--gut5k-gs,1000,500,123,119,0.967479674796748,0.238,0.38202247191011235,0.615,0.385
rf--le-neg--gut10k-gs,1000,500,74,73,0.9864864864864865,0.146,0.2543554006968641,0.572,0.42800000000000005
heat-gutenberg2-000112-gs,1000,500,640,457,0.7140625,0.914,0.8017543859649123,0.774,0.22599999999999998
stacked-compo-heat-1-gs,1000,500,746,467,0.6260053619302949,0.934,0.7495987158908507,0.688,0.31200000000000006
stacked-compo-heat-2-gs,1000,500,879,476,0.5415244596131968,0.952,0.6903553299492388,0.573,0.42700000000000005
stacked-forest-heat-3-gs,1000,500,641,457,0.7129485179407177,0.914,0.8010517090271692,0.773,0.22699999999999998
stacked-compo-forest-heat-4-gs,1000,500,747,467,0.6251673360107095,0.934,0.7489975942261428,0.687,0.31299999999999994
stacked-heat-compo-5-gs,1000,500,879,476,0.5415244596131968,0.952,0.6903553299492388,0.573,0.42700000000000005
stacked-forest-compo-heat-6-gs,1000,500,667,463,0.6941529235382309,0.926,0.7934875749785777,0.759,0.241
stacked-compo-heat-8-gs,1000,500,666,463,0.6951951951951952,0.926,0.7941680960548886,0.76,0.24
