experiment,population,relevant,retrieved,positives,precision,recall,fmeasure,accuracy,error
led-components-1t-all-gs,1000,500,411,350,0.851581508515815,0.7,0.7683863885839737,0.789,0.21099999999999997
led-components-1t-min3-gs,1000,500,869,493,0.567318757192175,0.986,0.7202337472607744,0.617,0.383
led-components-1t-min4-gs,1000,500,656,463,0.7057926829268293,0.926,0.8010380622837371,0.77,0.22999999999999998
led-components-1a-all-gs,1000,500,66,64,0.9696969696969697,0.128,0.22614840989399293,0.562,0.43799999999999994
led-components-1a-min3-gs,1000,500,409,342,0.8361858190709046,0.684,0.7524752475247526,0.775,0.22499999999999998
led-components-1a-min4-gs,1000,500,210,202,0.9619047619047619,0.404,0.5690140845070423,0.694,0.30600000000000005
rf--le-reu-red--le10k-gs,1000,500,946,498,0.5264270613107822,0.996,0.6887966804979253,0.55,0.44999999999999996
rf--le-neg--le1k-gs,1000,500,202,189,0.9356435643564357,0.378,0.5384615384615385,0.676,0.32399999999999995
rf--le-neg--gut5k-gs,1000,500,123,119,0.967479674796748,0.238,0.38202247191011235,0.615,0.385
rf--le-neg--gut10k-gs,1000,500,74,73,0.9864864864864865,0.146,0.2543554006968641,0.572,0.42800000000000005
heat-gutenberg2-000112-gs,1000,500,657,474,0.7214611872146118,0.948,0.8193604148660328,0.791,0.20899999999999996
stacked-compo-heat-1-gs,1000,500,765,486,0.6352941176470588,0.972,0.7683794466403162,0.707,0.29300000000000004
stacked-compo-heat-2-gs,1000,500,898,495,0.5512249443207127,0.99,0.7081545064377682,0.592,0.40800000000000003
stacked-forest-heat-3-gs,1000,500,658,474,0.7203647416413373,0.948,0.8186528497409327,0.79,0.20999999999999996
stacked-compo-forest-heat-4-gs,1000,500,766,486,0.6344647519582245,0.972,0.7677725118483413,0.706,0.29400000000000004
stacked-heat-compo-5-gs,1000,500,898,495,0.5512249443207127,0.99,0.7081545064377682,0.592,0.40800000000000003
stacked-forest-compo-heat-6-gs,1000,500,685,481,0.7021897810218978,0.962,0.8118143459915611,0.777,0.22299999999999998
stacked-compo-heat-8-gs,1000,500,684,481,0.7032163742690059,0.962,0.8125,0.778,0.22199999999999998
heat-sentiment-1-gs,1000,500,907,457,0.503858875413451,0.914,0.6496090973702915,0.507,0.493
heat-music-2-gs,1000,500,569,458,0.804920913884007,0.916,0.8568755846585593,0.847,0.15300000000000002
heat-music-1-gs,1000,500,559,457,0.817531305903399,0.914,0.8630783758262512,0.855,0.14500000000000002
stacked-forest-music-9-gs,1000,500,555,446,0.8036036036036036,0.892,0.8454976303317535,0.837,0.16300000000000003
heat-performer-1-gs,1000,500,797,460,0.5771643663739021,0.92,0.7093292212798767,0.623,0.377
heat-music-1-gs,1000,500,559,457,0.817531305903399,0.914,0.8630783758262512,0.855,0.14500000000000002
heat-music-2-gs,1000,500,569,458,0.804920913884007,0.916,0.8568755846585593,0.847,0.15300000000000002
heat-listener-1-gs,1000,500,677,441,0.6514032496307238,0.882,0.7493627867459643,0.705,0.29500000000000004
