experiment,population,relevant,retrieved,positives,precision,recall,fmeasure,accuracy,error
heat-gutenberg-00003-20,4028,910,2588,851,0.32882534775888717,0.9351648351648352,0.4865637507146941,0.5541211519364448,0.44587884806355516
heat-gutenberg-00003,16087,3627,10337,3372,0.32620682983457483,0.9296939619520265,0.48295617301632776,0.5511904021881022,0.4488095978118978
heat-gutenberg2-00003-20,4028,910,3204,895,0.2793383270911361,0.9835164835164835,0.43509965969859016,0.423038728897716,0.576961271102284
heat-gutenberg2-00004-20,4028,910,2571,848,0.32983274990276157,0.9318681318681319,0.4872163171502442,0.5568520357497517,0.44314796425024827
heat-gutenberg2-00005-20,4028,910,2191,779,0.35554541305340026,0.856043956043956,0.5024185746533376,0.6169314796425025,0.3830685203574975
heat-gutenberg2-00007-20,4028,910,1502,590,0.39280958721704395,0.6483516483516484,0.48922056384742957,0.6941410129096326,0.3058589870903674
heat-gutenberg2-0001-20,4028,910,710,275,0.3873239436619718,0.3021978021978022,0.3395061728395062,0.7343594836146972,0.26564051638530284
rf--le-neg--all,4028,910,354,162,0.4576271186440678,0.17802197802197803,0.2563291139240506,0.7666335650446872,0.23336643495531284
rf--le-neg--eall,4028,910,12,5,0.4166666666666667,0.005494505494505495,0.010845986984815618,0.7735849056603774,0.2264150943396226
rf--le-neg--gut10k,4028,910,1330,605,0.4548872180451128,0.6648351648351648,0.5401785714285715,0.7442899702085403,0.25571002979145974
rf--le-neg--le10k-f10t10s1,80571,13551,8459,3879,0.4585648421799267,0.28625193712641134,0.3524761472058155,0.8231125342865299,0.17688746571347014
rf--le-neg--le10k-f10t10s10,8065,1344,840,382,0.45476190476190476,0.28422619047619047,0.34981684981684985,0.8239305641661501,0.17606943583384993
rf--le-neg--le10k-f5t5s5,16138,2099,344,166,0.48255813953488375,0.07908527870414483,0.13589848546868605,0.8691907299541455,0.13080927004585452
rf--le-neg--le10k,4028,910,1093,538,0.4922232387923147,0.5912087912087912,0.5371942086869695,0.7698609731876862,0.2301390268123138
rf--le-neg--le1k,4028,910,2032,799,0.39320866141732286,0.878021978021978,0.5431679129843644,0.6663356504468719,0.33366434955312807
rf--le-neg--le5k,4028,910,1381,625,0.4525706010137581,0.6868131868131868,0.5456132693147097,0.7415590863952334,0.2584409136047666
rf--le-neg--tall,4028,910,498,165,0.3313253012048193,0.1813186813186813,0.23437499999999997,0.7323733862959285,0.2676266137040715
rf--le-red--le,4028,910,3952,907,0.22950404858299595,0.9967032967032967,0.37309749074454956,0.24329692154915591,0.7567030784508441
rf--le-reu--all,4028,910,3923,900,0.22941626306398163,0.989010989010989,0.37243947858473,0.24702085402184706,0.752979145978153
rf--le-reu--le,4028,910,3836,892,0.23253388946819603,0.9802197802197802,0.37589549093973873,0.2646474677259186,0.7353525322740815
rf--le-reu-red--le,4028,910,3866,899,0.23254009311950335,0.987912087912088,0.376465661641541,0.26067527308838134,0.7393247269116187
rf--le-reu-red--le10k,4028,910,3890,905,0.2326478149100257,0.9945054945054945,0.3770833333333333,0.2576961271102284,0.7423038728897716
