gut_dictionary.term,gut_dictionary.score
Beethoven[NNP],0.004708996601517989
vocal[JJ],0.0035774054116812864
music[NN],0.003279422104534072
Liszt[NNP],0.003201453413296666
Chopin[NNP],0.0031639868530518207
composer[NN],0.003115849808538954
Mozart[NNP],0.0028601992484331164
musical[JJ],0.0027225849542457073
Haydn[NNP],0.0025792077139880688
piano[NN],0.0025009423741650712
Bach[NNP],0.0024193504345382494
singer[NN],0.0020840448505487713
pianoforte[NN],0.0018728443345240133
composer[NNS],0.0018634295805874616
sonata[NN],0.0017928352852587765
sonata[NNS],0.0017918040635623697
Wagner[NNP],0.0017893157400047169
violin[NN],0.0016787547691185399
opera[NN],0.0016725467414157355
Schumann[NNP],0.0016592447213687556
singer[NNS],0.0015941889319831832
larynx[NN],0.0015160266003932956
orchestra[NN],0.0014721160884716299
counterpoint[NN],0.001381991757860158
orchestral[JJ],0.0013685433742163518
Vienna[NNP],0.0013156561624544669
composition[NNS],0.0013092126587088673
Handel[NNP],0.0012927071414950018
Music[NNP],0.001281429402112964
Symphony[NNP],0.0012795697047398226
Berlioz[NNP],0.0012658405081249244
Sidenote[NNP],0.0011941887927759422
resonance[NN],0.0011849583459016798
pianist[NN],0.0011315247223713761
singing[NN],0.0011228940311199037
MacDowell[NNP],0.001091283912054314
tone[NN],0.0010843815750996091
Mendelssohn[NNP],0.0010751100372189057
Piano[NNP],0.0010265642476176345
Schubert[NNP],0.0010216381965057286
melody[NN],0.0010167708531369061
rhythm[NN],0.0010088615176312926
octave[NN],0.001008611390227999
opera[NNS],0.0010066609252401524
tone[NNS],0.0009990877807108858
exercise[NNS],0.000997951958709997
conductor[NN],0.0009694087641915285
song[NNS],0.0009642117041026162
BEETHOVEN[NNP],0.0009616430425583385
melodic[JJ],0.000961110750781452
Allegro[NNP],0.000952024382943342
symphony[NN],0.0009449626199555601
firmus[FW],0.0009429664731288593
concert[NN],0.0009339842223682983
Brahms[NNP],0.0009211613086681819
footnote[NN],0.0009083103754070998
teacher[NN],0.0009018693031433252
sing[VB],0.0008908630230005368
quartet[NN],0.0008899919406062692
soprano[NN],0.0008813819629601166
concerto[NN],0.000846358135025005
pupil[NN],0.0008444714458798254
chorus[NN],0.0008301532097910141
musician[NN],0.0008270560248684054
pianolist[NN],0.0008255746869711628
