1.0,1906127101.txt,"""Read Homer and Anastatius [sic]'"""
1.0,249145043.txt,"""""""""""Gazette"""""""" with details of victory over Dupont, +c'"""
1.0,479737302.txt,"""Melville is a terribly dull book: I do not think it will take so well as Knox'."""
1.0,829227391.txt,"""read Dante - finish Lambs specimens. walk to Mr Olliers. read Zapolya'"""
1.0,1090100747.txt,"""I am reading nothing but snatches of """"""""Paradise Lost"""""""" while waiting for the bath to fill.'"""
1.0,1917599613.txt,"""read the 4th and 5th fables of Ovid'"""
1.0,336291936.txt,"""then I went to priuatt prairs and medetation and readinge'"""
1.0,817305386.txt,"""Looked through Machiavelli's works'."""
1.0,71808439.txt,"""Mr Swan's note was extremely good.'"""
1.0,1050907628.txt,"""We have been reading the new edition of Wordsworth's poetry, in which there are several new things.'"""
1.0,543411512.txt,"""Writt from 6 to 9. Sup'd alone. Read 'The Mulberry Garden', a pretty play. Bed 12."""
1.0,1625069618.txt,"""Sunday April 4th. [...] <Finish Lettres de Madame de Pompadour>'."""
1.0,1055005792.txt,"""stanzas for music by the ettrick shepherd' [transcribes 2 stanzas] 'my sweet little...'"""
1.0,1410835761.txt,"""Read Bingley's useful knowledge, Jocular Tenures, Pyle, much interrupted by Justice business'."""
1.0,124675690.txt,"""C[oleridge] read Gifford's introduction and Ferriar's essay on Massinger in Dec. 1808-09.'"""
1.0,166221188.txt,"""Afterwards, when upstairs, Mrs Montagu's """"""""Letters"""""""" which I think very highly of.'"""
1.0,1912285298.txt,"""After priuat praier I did read of the bible, then wret in my sermon book'"""
1.0,837393645.txt,"""after, I wrought and hard Mr Rhodes reead of the testement and other good bookes'"""
1.0,490170894.txt,"""copied out the Lives of some saints from Mrs Jameson'."""
1.0,2048932710.txt,"""Mary Berry, Journal, 28 May 1812: 'In the evening the Princess [?of Wales] read to us """"""""Amelie de Mansfeldt.""""""""'"""
1.0,1116157589.txt,"""Read Laocoon'."""
1.0,794455163.txt,"""[ALLUSION] We both agree we would rather go without 'L'Allegro'"""
1.0,168414694.txt,"""Yesterday I read the first inst[alment] of """"""""To Let"""""""" in a spirit of philistinish curiosity.'"""
1.0,1194833286.txt,"""Tuesday May 25th.  [...] <Read Boccaccio>.'"""
1.0,1492820718.txt,"""[Sunday 21 November 1841]. [...] Read Knight's Life of Colet. [...]."""
1.0,435736768.txt,"""Mary Berry, Journal, 19 November 1807: 'After dinner read aloud some of Madame du Deffand's letters.'"""
1.0,1521942455.txt,"""[Sunday] Short's Serm. Heard Buckley. Lancaster &c &C. [...]."""
1.0,1327299872.txt,"""After praier I wrought, reed, went about the house, and praied againe before diner'"""
1.0,1639382325.txt,"""then I reed of the bible: after, I praied and so dined'"""
1.0,141386568.txt,"""Read the Abbot'"""
1.0,376989333.txt,"""To Jane Whene'er I see those smiling eyes... [the 'transcript' does not follow the original to the letter]"""
1.0,1763448137.txt,"""Here I sit reading the Saturday Review, New Statesman etc and feeling rather humpy.'"""
1.0,1217297190.txt,"""after dinner I talked with som strangers that Came to Mr Hoby, wrought, reed a sarmon'"""
1.0,549329040.txt,"""priuat Readinge'"""
1.0,1197307810.txt,"""After priuat praers I wrett in my testement and reed'"""
1.0,638890336.txt,"""I left them there and walked to Deptford, reading in Wallsinghams """"""""manuall"""""""", a very good book.'"""
1.0,336526612.txt,"""Looked back to Plato on weaving, Laws V, p. 151.'"""
1.0,1433530772.txt,"""Monday September [...] 26th. [...] Read the story of the Basket Woman to Johnny.'"""
1.0,1295304438.txt,"""after, I passed the afternone with Litle readinge because of my secknes'"""
1.0,905133265.txt,"""Finished, afterwards, """"""""Gulliver's Travels"""""""".   Could this severe satire....'"""
1.0,1101294317.txt,"""For scientific notions I had Dr. Brewer's """"""""Guide to Science"""""""", in the form of a catechism.'"""
1.0,917984261.txt,"""[Marginalia in Keats's annotated copy of """"""""Paradise Lost"""""""", Book 3, lines 135-7]: 'Hell is finer than this'."""
1.0,2056365119.txt,"""Begin the Defence of Poesy by Sir P. Sidney.'"""
1.0,829153173.txt,"""S. reads the Case is Altered of B.[en] Jonson aloud in the evening'."""
1.0,977064266.txt,"""Sunday Feb. 8. [...] Read Helen Monteagle by A. Lefanu  Stupid foolish Book.'"""
1.0,1538643031.txt,"""Read Hamlet'"""
1.0,865151275.txt,"""I liked """"""""Veuillot"""""""" horrid; it was jolly and sympathetic and I think true.'"""
1.0,99912870.txt,"""S. reads Henry V'"""
1.0,454983631.txt,"""S. reads the first book of Troilus & Cressida aloud in the evening.'"""
1.0,156989652.txt,"""I read […] Comines […]'"""
1.0,1723486702.txt,"""read man as he is - Hogg comes and reads Rokeby to me'."""
1.0,1827570849.txt,"""From 8.30 to 9.10 walked on the terrace, occasionally reading Young's Night Thoughts. Coffee at 9.10."""
1.0,743755543.txt,"""The Monthly Cricket ... Summed; good reading, best I've seen as a whole; shaky on the pictures.'"""
1.0,280658528.txt,"""read - Jacopo Ortis - 2nd Vol of Geographica Fisica - &c &c'"""
1.0,1461222666.txt,"""""""""""in spring 1800 ... [Heron] provided one of the first entries in [Wordsworth's] Commonplace Book ..."""""""""""
1.0,122300918.txt,"""[King] likes Doughty, Arabian Knights [sic], Froissart.'"""
1.0,568471981.txt,"""I am very busy with Beranger for the """"""""Britannica""""""""."""
1.0,154865153.txt,"""Read Julie - S reads Homer'"""
1.0,1896839694.txt,"""Byron to Samuel Rogers, 3 March 1818: 'I read my death in the papers, which was not true.'"""
1.0,1289128238.txt,"""S. visits the galleries - writes - reads Spinosa - Clarendon aloud'"""
1.0,807836023.txt,"""He had a pretty full translation of Schiller's Aesthetic Letters. which we read together ...'"""
1.0,1515668514.txt,"""The Mag has come; the only thing I liked was your Japanese.'"""
1.0,484208840.txt,"""and after reed and praied, and then I went to dinner'"""
1.0,434081490.txt,"""I am nearly done with McCrie's Knox.'"""
1.0,1304430165.txt,"""I am afraid I never told you that I did not mind your reading Jane Eyre'."""
1.0,588046867.txt,"""In the evening read 3 of Tillotson's sermons.'"""
1.0,453544829.txt,"""S reads Ode to France aloud and repeats the poem to tranquility'."""
1.0,666036092.txt,"""Sorrows for a Friend' 'O ye brown old oaks that spread the silent wood...' 'Clare'"""
1.0,192267690.txt,"""and so, after priuat praers, I Reed a whill and so went to bed'"""
1.0,378030732.txt,"""Not well in the morning. Finished Fanny Lewald's Wandlungen'."""
1.0,440842105.txt,"""Byron to P. B. Shelley, 26 April 1821: 'I read [The] Cenci ...'"""
1.0,137898356.txt,"""We have been reading Longfellow's Hiawatha'."""
1.0,813728667.txt,"""Read Rights of woman - Opuscula of Cicero'"""
1.0,675246813.txt,"""[Gabriel] Harvey's Livy folio has marginalia from persusals in 1568, 1580, and 1590.'"""
1.0,154880001.txt,"""[Marginalia] 'A most powerful piece of rhetoric as ever I read.'"""
1.0,2098518127.txt,"""In afternoon, the trance-teaching, and the reading of """"""""Marmion"""""""" with companions...'"""
1.0,920269516.txt,"""then I hard Mrs Brutnell Read of the Herball tell supper time'"""
1.0,1837273399.txt,"""Byron to John Murray, 25 March 1818: 'Rose's Animali I never saw till a few days ago ...'"""
1.0,1540070889.txt,"""Began """"""""Il Principe"""""""".'"""
1.0,2043097611.txt,"""Finished reading """"""""Averroes and l'Averroisme"""""""", and """"""""Les Medecins Juifs"""""""". Reading """"""""First Principles"""""""".'"""
1.0,369222185.txt,"""Yesterday hard work on """"""""Frederick""""""""'"""
1.0,923367118.txt,"""Cassell's Magazine provided stronger meat...and I think every word of it found some reader in the family.'"""
1.0,1880226017.txt,"""Monday Dec. 11th.  Begin the Observations of Macchiavelli upon the Decades of Livy.'"""
1.0,560208101.txt,"""The thing [""""""""A Paheka""""""""] in """"""""West.Gaz."""""""" is excellent, excellent.'"""
1.0,888768403.txt,"""Today the morning psalms very good for me. 1st Collect. p. 83. Lincoln Psalter.'"""
1.0,1349529496.txt,"""Read and looked at Joe's Bible after Kirk. Bed v.tired.'"""
1.0,2044812409.txt,"""I staid at home and read """"""""Charles Grandison"""""""" that we have in French a charming book'."""
1.0,1273073566.txt,"""...I spoke to three of my workmates...All they read was """"""""The Racing Specialist"""""""" and the """"""""Football Edition""""""""...'"""
1.0,1200068921.txt,"""Greatly rooted in displeasure with myself as I look over old diaries.'"""
1.0,279375634.txt,"""Mr T.[aaffe] in the evening - read his notes to Dante'"""
1.0,1114634343.txt,"""At night home to supper, weary and my eyes sore with writing and reading - and to bed.'"""
1.0,1545591581.txt,"""I read Wilhelm Meister aloud, and then G. read part of the Merchant of Venice'"""
1.0,1220054661.txt,"""Read Tristram Shandy - Sentimental Journey - Zadig and Clarke'"""
1.0,933673938.txt,"""Began the """"""""Ajax"""""""" of Sophocles. Also Miss Martineau's """"""""History of the Peace.""""""""'"""
1.0,1182298549.txt,"""Began to read """"""""Principles of Success in Literature"""""""".'"""
1.0,73469031.txt,"""Morris's Sigurd is a grrrrreat poem; that is so.'"""
1.0,803688261.txt,"""filled with profound reverence...' 'blair vii p.375' and 'since the time that heaven began...' 'blair's ser vii p.26'"""
1.0,794934731.txt,"""Read the German's tale'"""
1.0,751733266.txt,"""[EVIDENCE OF LENDING]... and pray keep ... the Nouveaux Apercus sur Jeanne d'Arc"""
1.0,34755032.txt,"""I am now in the middle of G's """"""""Aristotle"""""""", which gives me great delight'"""
1.0,10805352.txt,"""after, I reed, praied, was busie about waxe lights, and then I dined'"""
1.0,414721057.txt,"""S finishes aloud the 3rd book of the Aenied [sic] aloud'"""
1.0,965320884.txt,"""Dorothy Wordsworth's Grasmere Journal, Thursday 4 February, 1802: 'Read Smollet's life.'"""
1.0,513313631.txt,"""Read Ezekiel 34th'"""
1.0,228943563.txt,"""Copy S's Eclogue - Read Horace'"""
1.0,1379780066.txt,"""In the even read part of Derham's """"""""Physico-Theology"""""""".'"""
1.0,480282070.txt,"""Read Villari, making chronological notes. Then Muratori on Proper Names'."""
1.0,1893128448.txt,"""Observe accident in """"""""Times"""""""" of June 17th, caused by caterpillar, Bombyx processionea of Reaumur.'"""
1.0,517728904.txt,"""Finished a cursory perusal of Burke on the """"""""Sublime and Beautiful""""""""...'"""
1.0,1571308986.txt,"""""""""""Midsummer Night's Dream"""""""" in evening'"""
1.0,491650320.txt,"""and, after, I wrought, hearinge Mr Rhodes Read of a booke against some newe spronge vp herisies'"""
1.0,1656241952.txt,"""""""""""The Jap Times and Advertiser"""""""" held a slogan competition.'"""
1.0,1698049209.txt,"""I keep the two books a little longer. """"""""Shakespeare"""""""" is good.'"""
1.0,1731030903.txt,"""Looked over the first Vol. of the """"""""Tatlers""""""""...'"""
1.0,959234183.txt,"""Finish the Aminta - Read Livy - Transcribe the Symposium - Read the Revolt of Islam'"""
1.0,2143589787.txt,"""Reading Aeschlyus, """"""""Theatre of the Greeks"""""""", Klein's """"""""History of the Drama"""""""" etc.'"""
1.0,1887177571.txt,"""read Matilda to Jane'"""
1.0,1843204707.txt,"""Took phisick. Mary read Cyrus."""
1.0,843331281.txt,"""Transcribe Mazeppa'"""
1.0,426215623.txt,"""Read 'The Adventures of Six Days'. 1 hour. Bed 11."""
1.0,1250481554.txt,"""After I had praied and reed, some of my freinds came, with whom I talked'"""
1.0,1557531270.txt,"""I read in the evening the """"""""Mysteries of Udolpho"""""""" which Lucy sent me'."""
1.0,1023391406.txt,"""Read """"""""Vicar of Wakefield"""""""" and """"""""Citizen of World"""""""" at coffee, and was sick of both.'"""
1.0,121735747.txt,"""Shelley reads aloud the letters from Norway'."""
1.0,2062963825.txt,"""began Marullus. In the evening read Pettigrew on Medical Superstitions.'"""
1.0,1626888870.txt,"""So to bed, with my mind cheery upon it; and lay long reading Hobbs his """"""""liberty and necessity"""""""", and a little but a very shrewd piece.'"""
1.0,143763042.txt,"""Henry James to Sarah Butler Wister, 9 May 1873: """"""""Some time since I began to read Tasso with Miss Bartlett and though he is very delicious I have let it become rather desultory."""""""""""
1.0,131310277.txt,"""[illustration of a Deer, followed by prose on hunting ascribed to] 'Library of Entertaining Knowledge' [part of album with begining of transcript missing]."""
1.0,1486467237.txt,"""[Francis] Wrangham was ... in the habit of reading MS verses to his friends: C[oleridge] heard his """"""""Brutoniad"""""""" in Sept. 1794.' """
1.0,1626433819.txt,"""The authorities [for the definitions in Johnson's Dictionary] were copied from the books themselves, in which he had marked the passages with a black lead pencil, the traces of which could easily be effaced'."""
1.0,1354644327.txt,"""The catholics have lost their bill once more [they] shoud when one beholds the following sacred humbugs [...] From """"""""Nugents Travels"""""""" [1768][Clare quotes list of relics quoted from Nugents by Stamford Mercury]'"""
1.0,624369614.txt,"""[During summer 1831] Hallam was at Hastings [...] After his holiday Hallam returned to his reading of law, and enjoyed """"""""the old fellow Blackstone,"""""""" culling for Alfred [Tennyson] poetic words like """"""""forestal.""""""""'"""
1.0,1691243313.txt,"""I have read since last October a good deal of the history relating to the East ... I read some of the """"""""Masnavi"""""""" of Jalaluddin ...'"""
1.0,1292351125.txt,"""I have been reading your father's letters to William which he has kept... What a blessing science was to him through all his anxieties and his bad health.'"""
1.0,518621148.txt,"""Some marginalia in pencil in French and English throughout. Bound together with Fr?d?ric Paulhan, 'Les ph?nom?nes affectifs et les lois de leur apparition' (Paris : Felix Alcan, 1887) """
1.0,1957905146.txt,"""Read Livy - The Tempest & two gentlemen of Verona - S finishes Ma[l]thus - & reads Cymbeline aloud'"""
1.0,857972111.txt,"""and then I reed of the Testemente and so to supper, then to publeck praers, and so to bed'"""
1.0,2026674250.txt,"""[Macaulay's marginalia at the end of the first book of Cicero's De Finibus]: """"""""Exquisitely written, graceful, calm, luminous and full of interest; but the Epicurean theory of morals is hardly deserving of refutation."""""""""""
