 "id" , "src" , "title" ,
 "1906127101.txt" , "http://data.open.ac.uk/red/document/31024094-i-397" , "The Journals of Mary Shelley 1814-1844" ,
 "249145043.txt" , "http://data.open.ac.uk/red/document/493519415-479" , "The Diary of the right Hon. William Windham" ,
 "479737302.txt" , "http://data.open.ac.uk/red/document/311304244-ii-2" , "Collected Letters of James Hogg, The" ,
 "829227391.txt" , "http://data.open.ac.uk/red/document/31024094-i-184" , "The Journals of Mary Shelley 1814-1844" ,
 "1090100747.txt" , "http://data.open.ac.uk/red/document/1674853213-295" , "Orientations" ,
 "1917599613.txt" , "http://data.open.ac.uk/red/document/31024094-i-74" , "The Journals of Mary Shelley 1814-1844" ,
 "336291936.txt" , "http://data.open.ac.uk/red/document/1817098133-167" , "Diary of Lady Margaret Hoby" ,
 "817305386.txt" , "http://data.open.ac.uk/red/document/1304789766-103" , "The Journals of George Eliot" ,
 "71808439.txt" , "http://data.open.ac.uk/red/document/398377439-4-8" , "The Letters of Robert Louis Stevenson" ,
 "1050907628.txt" , "http://data.open.ac.uk/red/document/457426069-v_1-109" , "Emma Darwin: A Century of Family Letters, 1792-1896" ,
 "543411512.txt" , "http://data.open.ac.uk/red/document/444728287-73" , "								Secret Comment: The Diaries of Gertrude Savile, 1721-1757" ,
 "1625069618.txt" , "http://data.open.ac.uk/red/document/1826817471-105" , "The Journals of Claire Clairmont" ,
 "1055005792.txt" , "http://data.open.ac.uk/red/document/0" , 												 ,
 "1055005792.txt" , "http://data.open.ac.uk/red/document/0" , 																								 ,
 "1055005792.txt" , "http://data.open.ac.uk/red/document/0" , 																 ,
 "1055005792.txt" , "http://data.open.ac.uk/red/document/0" , 				 ,
 "1055005792.txt" , "http://data.open.ac.uk/red/document/0" , 								 ,
 "1410835761.txt" , "http://data.open.ac.uk/red/document/854474936-45-46" , "The Diaries of Benjamin Newton Rector of Wath, 1816-1819" ,
 "1410835761.txt" , "http://data.open.ac.uk/red/document/854474936-45-46" , "The Diaries of Benjamin Newton Rector of wath, 1816-1819" ,
 "124675690.txt" , "http://data.open.ac.uk/red/document/1591664368-144" , "Wordsworth's Reading 1800-1815" ,
 "166221188.txt" , "http://data.open.ac.uk/red/document/493519415-498" , "The Diary of the right Hon. William Windham" ,
 "1912285298.txt" , "http://data.open.ac.uk/red/document/1817098133-107" , "Diary of Lady Margaret Hoby" ,
 "837393645.txt" , "http://data.open.ac.uk/red/document/1817098133-121" , "Diary of Lady Margaret Hoby" ,
 "490170894.txt" , "http://data.open.ac.uk/red/document/1304789766-101" , "The Journals of George Eliot" ,
 "2048932710.txt" , "http://data.open.ac.uk/red/document/2045927088-2-499" , "Extracts of the Journals and Correspondence of Miss Berry From the Year 1783 to 1852" ,
 "1116157589.txt" , "http://data.open.ac.uk/red/document/1304789766-34" , "The Journals of George Eliot" ,
 "794455163.txt" , "http://data.open.ac.uk/red/document/398377439-3-144" , "The Letters of Robert Louis Stevenson" ,
 "168414694.txt" , "http://data.open.ac.uk/red/document/1139772816-7-243" , "The Collected Letters of Joseph Conrad Volume 7, 1920-1922" ,
 "1194833286.txt" , "http://data.open.ac.uk/red/document/1826817471-112" , "The Journals of Claire Clairmont" ,
 "1492820718.txt" , "http://data.open.ac.uk/red/document/1616673457-3-158" , "The Gladstone Diaries" ,
 "435736768.txt" , "http://data.open.ac.uk/red/document/2045927088-2-334" , "Extracts of the Journals and Correspondence of Miss Berry From the Year 1783 to 1852" ,
 "1521942455.txt" , "http://data.open.ac.uk/red/document/1616673457-1-333" , "The Gladstone Diaries" ,
 "1327299872.txt" , "http://data.open.ac.uk/red/document/1817098133-173" , "Diary of Lady Margaret Hoby" ,
 "1639382325.txt" , "http://data.open.ac.uk/red/document/1817098133-102" , "Diary of Lady Margaret Hoby" ,
 "141386568.txt" , "http://data.open.ac.uk/red/document/31024094-i-349" , "The Journals of Mary Shelley 1814-1844" ,
 "376989333.txt" , "http://data.open.ac.uk/red/document/0" , 												 ,
 "376989333.txt" , "http://data.open.ac.uk/red/document/0" , 																								 ,
 "376989333.txt" , "http://data.open.ac.uk/red/document/0" , 																 ,
 "376989333.txt" , "http://data.open.ac.uk/red/document/0" , 				 ,
 "376989333.txt" , "http://data.open.ac.uk/red/document/0" , 								 ,
 "1763448137.txt" , "http://data.open.ac.uk/red/document/1648310012-74" , "Siegfried Sassoon Diaries 1915 - 1918" ,
 "1217297190.txt" , "http://data.open.ac.uk/red/document/1817098133-127" , "Diary of Lady Margaret Hoby" ,
 "549329040.txt" , "http://data.open.ac.uk/red/document/1817098133-224" , "Diary of Lady Margaret Hoby" ,
 "1197307810.txt" , "http://data.open.ac.uk/red/document/1817098133-134" , "Diary of Lady Margaret Hoby" ,
 "638890336.txt" , "http://data.open.ac.uk/red/document/1017630223-7-161" , "The diary of Samuel Pepys" ,
 "336526612.txt" , "http://data.open.ac.uk/red/document/1578754424-3-948" , "The diaries of John Ruskin" ,
 "1433530772.txt" , "http://data.open.ac.uk/red/document/1826817471-359-360" , "The Journals of Claire Clairmont" ,
 "1295304438.txt" , "http://data.open.ac.uk/red/document/1817098133-96" , "Diary of Lady Margaret Hoby" ,
 "905133265.txt" , "http://data.open.ac.uk/red/document/969482042-1" , "Extracts from the Diary of a Lover of Literature." ,
 "1101294317.txt" , "http://data.open.ac.uk/red/document/1319566621-43" , "A London Family 1870-1900" ,
 "917984261.txt" , "http://data.open.ac.uk/red/document/235235179-523" , "John Keats: The Complete Poems " ,
 "2056365119.txt" , "http://data.open.ac.uk/red/document/31024094-i-353" , "The Journals of Mary Shelley 1814-1844" ,
 "829153173.txt" , "http://data.open.ac.uk/red/document/31024094-i-355" , "The Journals of Mary Shelley 1814-1844" ,
 "977064266.txt" , "http://data.open.ac.uk/red/document/1826817471-82" , "The Journals of Claire Clairmont" ,
 "1538643031.txt" , "http://data.open.ac.uk/red/document/31024094-i-255" , "The Journals of Mary Shelley 1814-1844" ,
 "865151275.txt" , "http://data.open.ac.uk/red/document/1724137216-2-265" , "The Letters of Robert Louis Stevenson, April 1874-July 1879" ,
 "99912870.txt" , "http://data.open.ac.uk/red/document/31024094-i-310" , "The Journals of Mary Shelley 1814-1844" ,
 "454983631.txt" , "http://data.open.ac.uk/red/document/31024094-i-371" , "The Journals of Mary Shelley 1814-1844" ,
 "156989652.txt" , "http://data.open.ac.uk/red/document/1724137216-2-166" , "The Letters of Robert Louis Stevenson, April 1874-July 1879" ,
 "1723486702.txt" , "http://data.open.ac.uk/red/document/31024094-i-73" , "The Journals of Mary Shelley 1814-1844" ,
 "1827570849.txt" , "http://data.open.ac.uk/red/document/799160294-349" , "				I know my own heart: The Diaries of Anne Lister 1791-1840" ,
 "743755543.txt" , "http://data.open.ac.uk/red/document/398377439-4-48-49" , "The Letters of Robert Louis Stevenson" ,
 "280658528.txt" , "http://data.open.ac.uk/red/document/31024094-i-412" , "The Journals of Mary Shelley 1814-1844" ,
 "1461222666.txt" , "http://data.open.ac.uk/red/document/1766411795-74" , "Wordsworth's Reading 1770-1799" ,
 "122300918.txt" , "http://data.open.ac.uk/red/document/172625866-i-138" , "Antonia White. Diaries 1926-1957" ,
 "568471981.txt" , "http://data.open.ac.uk/red/document/1724137216-2-152" , "The Letters of Robert Louis Stevenson, April 1874-July 1879" ,
 "154865153.txt" , "http://data.open.ac.uk/red/document/31024094-i-176" , "The Journals of Mary Shelley 1814-1844" ,
 "1896839694.txt" , "http://data.open.ac.uk/red/document/1425159857-6-18" , "Byron's Letters and Journals" ,
 "1289128238.txt" , "http://data.open.ac.uk/red/document/31024094-i-299" , "The Journals of Mary Shelley 1814-1844" ,
 "807836023.txt" , "http://data.open.ac.uk/red/document/398377439-4-206" , "The Letters of Robert Louis Stevenson" ,
 "1515668514.txt" , "http://data.open.ac.uk/red/document/398377439-3-277" , "The Letters of Robert Louis Stevenson" ,
 "484208840.txt" , "http://data.open.ac.uk/red/document/1817098133-129" , "Diary of Lady Margaret Hoby" ,
 "434081490.txt" , "http://data.open.ac.uk/red/document/398377439-1-419" , "The Letters of Robert Louis Stevenson" ,
 "1304430165.txt" , "http://data.open.ac.uk/red/document/759868514-860" , "Letters of Mrs Gaskell, The" ,
 "588046867.txt" , "http://data.open.ac.uk/red/document/514421849-64" , "The Diary of Thomas Turner" ,
 "453544829.txt" , "http://data.open.ac.uk/red/document/31024094-i-59" , "The Journals of Mary Shelley 1814-1844" ,
 "666036092.txt" , "http://data.open.ac.uk/red/document/0" , 												 ,
 "666036092.txt" , "http://data.open.ac.uk/red/document/0" , 																								 ,
 "666036092.txt" , "http://data.open.ac.uk/red/document/0" , 																 ,
 "666036092.txt" , "http://data.open.ac.uk/red/document/0" , 				 ,
 "666036092.txt" , "http://data.open.ac.uk/red/document/0" , 								 ,
 "192267690.txt" , "http://data.open.ac.uk/red/document/1817098133-129" , "Diary of Lady Margaret Hoby" ,
 "378030732.txt" , "http://data.open.ac.uk/red/document/1304789766-36" , "The Journals of George Eliot" ,
 "440842105.txt" , "http://data.open.ac.uk/red/document/1425159857-8-103" , "Byron's Letters and Journals" ,
 "137898356.txt" , "http://data.open.ac.uk/red/document/1304789766-58" , "The Journals of George Eliot" ,
 "813728667.txt" , "http://data.open.ac.uk/red/document/31024094-i-149" , "The Journals of Mary Shelley 1814-1844" ,
 "675246813.txt" , "http://data.open.ac.uk/red/document/657161740-139" , "Gabriel Harvey: His Life, Marginalia and Library" ,
 "154880001.txt" , "http://data.open.ac.uk/red/document/2003793682-2-405" , "The Life and Letters of Lord Macaulay" ,
 "2098518127.txt" , "http://data.open.ac.uk/red/document/1578754424-3-877" , "The diaries of John Ruskin" ,
 "920269516.txt" , "http://data.open.ac.uk/red/document/1817098133-78" , "Diary of Lady Margaret Hoby" ,
 "1837273399.txt" , "http://data.open.ac.uk/red/document/1425159857-6-24" , "Byron's Letters and Journals" ,
 "1540070889.txt" , "http://data.open.ac.uk/red/document/1304789766-113" , "The Journals of George Eliot" ,
 "2043097611.txt" , "http://data.open.ac.uk/red/document/1304789766-131" , "The Journals of George Eliot" ,
 "369222185.txt" , "http://data.open.ac.uk/red/document/1578754424-2-751" , "The diaries of John Ruskin" ,
 "923367118.txt" , "http://data.open.ac.uk/red/document/1424210781-130" , "A London Family: 1870-1900" ,
 "1880226017.txt" , "http://data.open.ac.uk/red/document/1826817471-193" , "The Journals of Claire Clairmont" ,
 "560208101.txt" , "http://data.open.ac.uk/red/document/341169331-2-158" , "The Collected Letters of Joseph Conrad Volume 2, 1898-1902" ,
 "888768403.txt" , "http://data.open.ac.uk/red/document/1578754424-3-847" , "The diaries of John Ruskin" ,
 "1349529496.txt" , "http://data.open.ac.uk/red/document/2046536710-199" , "The Diary and Letters of a World War I Fighter Pilot" ,
 "2044812409.txt" , "http://data.open.ac.uk/red/document/1459868823-i-192" , "The Wynne Diaries" ,
 "1273073566.txt" , "http://data.open.ac.uk/red/document/1482251081-171" , "So long ago" ,
 "1200068921.txt" , "http://data.open.ac.uk/red/document/1578754424-3-1114" , "The diaries of John Ruskin" ,
 "279375634.txt" , "http://data.open.ac.uk/red/document/31024094-i-357" , "The Journals of Mary Shelley 1814-1844" ,
 "1114634343.txt" , "http://data.open.ac.uk/red/document/1017630223-5-285" , "The diary of Samuel Pepys" ,
 "1545591581.txt" , "http://data.open.ac.uk/red/document/1304789766-34" , "The Journals of George Eliot" ,
 "1220054661.txt" , "http://data.open.ac.uk/red/document/31024094-i-192" , "The Journals of Mary Shelley 1814-1844" ,
 "933673938.txt" , "http://data.open.ac.uk/red/document/1304789766-63" , "The Journals of George Eliot" ,
 "1182298549.txt" , "http://data.open.ac.uk/red/document/1304789766-155" , "The Journals of George Eliot" ,
 "73469031.txt" , "http://data.open.ac.uk/red/document/398377439-3-253" , "The Letters of Robert Louis Stevenson" ,
 "803688261.txt" , "http://data.open.ac.uk/red/document/0" , 												 ,
 "803688261.txt" , "http://data.open.ac.uk/red/document/0" , 																								 ,
 "803688261.txt" , "http://data.open.ac.uk/red/document/0" , 																 ,
 "803688261.txt" , "http://data.open.ac.uk/red/document/0" , 				 ,
 "803688261.txt" , "http://data.open.ac.uk/red/document/0" , 								 ,
 "794934731.txt" , "http://data.open.ac.uk/red/document/31024094-i-382" , "The Journals of Mary Shelley 1814-1844" ,
 "751733266.txt" , "http://data.open.ac.uk/red/document/398377439-3-44" , "The Letters of Robert Louis Stevenson" ,
 "34755032.txt" , "http://data.open.ac.uk/red/document/1304789766-118" , "The Journals of George Eliot" ,
 "10805352.txt" , "http://data.open.ac.uk/red/document/1817098133-145" , "Diary of Lady Margaret Hoby" ,
 "414721057.txt" , "http://data.open.ac.uk/red/document/31024094-i-313" , "The Journals of Mary Shelley 1814-1844" ,
 "965320884.txt" , "http://data.open.ac.uk/red/document/677026060-111" , "Journals of Dorothy Wordsworth" ,
 "513313631.txt" , "http://data.open.ac.uk/red/document/1578754424-3-963" , "The diaries of John Ruskin" ,
 "228943563.txt" , "http://data.open.ac.uk/red/document/31024094-i-223" , "The Journals of Mary Shelley 1814-1844" ,
 "1379780066.txt" , "http://data.open.ac.uk/red/document/1180855657-204" , "The Dairy of Thomas Turner" ,
 "480282070.txt" , "http://data.open.ac.uk/red/document/1304789766-103" , "The Journals of George Eliot" ,
 "1893128448.txt" , "http://data.open.ac.uk/red/document/1578754424-2-562" , "The diaries of John Ruskin" ,
 "517728904.txt" , "http://data.open.ac.uk/red/document/969482042-30-31" , "Extracts from the Diary of a Lover of Literature." ,
 "1571308986.txt" , "http://data.open.ac.uk/red/document/1578754424-2-703" , "The diaries of John Ruskin" ,
 "491650320.txt" , "http://data.open.ac.uk/red/document/1817098133-98" , "Diary of Lady Margaret Hoby" ,
 "1656241952.txt" , "http://data.open.ac.uk/red/document/620227624-174" , "Life and Death in Changi" ,
 "1698049209.txt" , "http://data.open.ac.uk/red/document/1623884496-5-369" , "The Collected Letters of Joseph Conrad Volume 5, 1912-1916" ,
 "1731030903.txt" , "http://data.open.ac.uk/red/document/969482042-32" , "Extracts from the Diary of a Lover of Literature." ,
 "959234183.txt" , "http://data.open.ac.uk/red/document/31024094-i-221" , "The Journals of Mary Shelley 1814-1844" ,
 "2143589787.txt" , "http://data.open.ac.uk/red/document/1304789766-124" , "The Journals of George Eliot" ,
 "1887177571.txt" , "http://data.open.ac.uk/red/document/31024094-i-379" , "The Journals of Mary Shelley 1814-1844" ,
